Tipo,Habitaciones,Ba�os,Area,Barrio,Valor
Apartamento,3,2,49,Bosa,144000000
Apartamento,3,2,87,Kennedy,357000000
Apartamento,3,1,53,Bosa,134000000
Apartamento,2,1,52,San Cristobal,160000000
Casa,5,5,358,Antonio Nariño,850000000
Apartamento,2,1,47,Bosa,120000000
Apartamento,3,1,42,Bosa,116000000
Casa,5,3,96,Costa Azul,250000000
Apartamento,2,2,44,Fontibón,111000000
Apartamento,3,1,42,Bosa,107000000
Apartamento,3,2,60,Cedritos,123000000
Apartamento,3,2,85,Gran Granada,347000000
Apartamento,3,2,78,Villa Alsacia,400000000
Casa,5,4,210,Bosa,300000000
Apartamento,3,1,50,Usme,141000000
Apartamento,2,2,64,Cedritos,277000000
Apartamento,2,2,72,San Patricio,420000000
Apartamento,3,2,65,Santa Barbara,275000000
Casa,10,7,370,Engativa,850000000
Apartamento,2,2,63,Usaquén,390000000
Apartamento,2,2,91,El Batán,445000000
Apartamento,3,2,68,Engativa,310000000
Apartamento,3,2,71,Engativa,277000000
Apartamento,3,2,63,Cedritos,290000000
Apartamento,3,2,85,Gran Granada,347000000
Apartamento,3,2,60,Cedritos,123000000
Apartamento,3,2,82,Usaquén,340000000
Apartamento,2,1,31,Usaquén,156000000
Apartamento,3,2,81,Teusaquillo,395000000
Apartamento,3,2,60,Engativa,245000000
Apartamento,2,1,47,Bogotá DC,130000000
Apartamento,3,1,48,Bogotá DC,136000000
Apartamento,2,2,71,Usaquén,476500000
Apartamento,2,2,71,Usaquén,476500000
Apartamento,3,2,58,Usaquén,225000000
Apartamento,3,1,45,Kennedy,165000000
Apartamento,3,2,86,La Calleja,451000000
Apartamento,1,2,42,Cedritos,307000000
Casa,3,2,44,Fontibón,138000000
Apartamento,3,1,46,Fontibón,180000000
Apartamento,2,3,138,Chico Reservado,620000000
Apartamento,3,2,112,Zona Noroccidental,398000000
Apartamento,3,2,71,Engativa,276000000
Casa,3,2,150,Fontibón,750000000
Apartamento,3,2,59,Fontibón,245000000
Apartamento,2,2,86,Usaquén,555000000
Apartamento,2,2,72,San Patricio,450000000
Apartamento,3,2,78,Usaquén,370000000
Apartamento,3,2,54,Tintala,162000000
Apartamento,1,1,24,Zona Noroccidental,173000000
Casa,3,3,141,Usaquén,629000000
Casa,2,1,62,Engativa,220000000
Apartamento,3,2,77,Kennedy,390000000
Apartamento,3,2,77,Kennedy,390000000
Apartamento,3,2,75,Santa Barbara,314000000
Apartamento,1,1,23,Gran America,170000000
Apartamento,2,1,42,Usaquén,200000000
Apartamento,2,2,61,Rafael Uribe Uribe,251000000
Apartamento,2,1,53,Engativa,168000000
Apartamento,3,1,58,Kennedy,200000000
Apartamento,2,2,56,Fontibón,340000000
Apartamento,1,1,34,Kennedy,103000000
Apartamento,3,2,60,Usaquén,230000000
Apartamento,4,5,221,Bella Suiza,1200000000
Apartamento,1,2,54,Cedritos,355000000
Casa,6,2,150,Puente Aranda,600000000
Apartamento,3,2,71,Bella Suiza,378300000
Casa,4,5,360,Usaquén,1900000000
Apartamento,3,2,43,Barrios Unidos,160000000
Casa,13,6,454,San Cristobal,650000000
Apartamento,3,1,47,Bosa,102000000
Apartamento,3,2,57,Bosa,148000000
Apartamento,3,3,117,Usaquén,500000000
Casa,3,1,47,Bosa,131000000
Apartamento,3,1,53,Bosa,142000000
Apartamento,2,2,67,La Salle,389000000
Casa,5,4,147,Usaquén,522500000
Apartamento,3,2,95,El Contador,465000000
Apartamento,2,2,103,Chico Reservado,1250000000
Apartamento,2,2,21,Engativa,235000000
Apartamento,1,1,32,Kennedy,164000000
Apartamento,3,2,114,Usaquén,416000000
Apartamento,3,2,73,Zona Noroccidental,318000000
Apartamento,3,2,50,Engativa,180000000
Apartamento,3,2,83,Portales Del Norte,390000000
Apartamento,2,1,47,Chapinero,258500000
Apartamento,3,2,59,Villemar,205000000
Apartamento,1,1,29,Teusaquillo,192000000
Casa,5,4,147,Usaquén,522500000
Apartamento,2,2,21,Engativa,235000000
Apartamento,2,2,103,Chico Reservado,1250000000
Apartamento,3,2,55,Villa Alsacia,240000000
Casa,3,2,72,Engativa,320000000
Apartamento,2,1,42,Kennedy,116100000
Casa,4,2,70,Zona Noroccidental,224000000
Apartamento,1,1,34,Marly,192000000
Apartamento,1,1,45,Santa Barbara,250000000
Apartamento,2,3,89,El Contador,500000000
Apartamento,2,2,66,Zona Noroccidental,345000000
Apartamento,3,2,60,Zona Noroccidental,256500000
Apartamento,3,2,68,Zona Noroccidental,323000000
Apartamento,2,1,48,Fontibón,150000000
Apartamento,3,2,59,Antonio Nariño,245000000
Apartamento,2,3,102,Usaquén,850000000
Apartamento,3,1,46,Bosa,127000000
Apartamento,2,2,48,Engativa,210000000
Apartamento,1,2,50,Santa Fe,354000000
Apartamento,3,2,62,Colina Campestre,281000000
Apartamento,2,1,52,Engativa,200000000
Apartamento,3,2,88,Zona Noroccidental,500000000
Apartamento,3,2,79,Usaquén,300000000
Apartamento,1,2,66,Bella Suiza,400000000
Apartamento,3,2,70,Portales Del Norte,330000000
Apartamento,3,1,49,Bosa,163000000
Apartamento,2,2,81,Santa Barbara,430000000
Apartamento,3,2,70,Portales Del Norte,330000000
Apartamento,3,2,70,Portales Del Norte,320000000
Apartamento,3,2,62,Colina Campestre,281000000
Apartamento,2,3,102,Usaquén,850000000
Apartamento,2,2,48,Engativa,210000000
Apartamento,3,1,46,Bosa,127000000
Apartamento,3,2,74,Zona Noroccidental,260000000
Apartamento,3,2,107,El Batán,525000000
Apartamento,2,2,107,San Patricio,760000000
Apartamento,2,2,60,Cantagallo,387000000
Casa,3,3,73,Engativa,360000000
Apartamento,1,1,41,Zona Noroccidental,246000000
Apartamento,2,2,70,Cedritos,319000000
Casa,2,1,57,Engativa,190000000
Apartamento,3,3,89,Santa Barbara,500000000
Casa,8,4,400,Ciudad Berna,1400000000
Apartamento,3,2,106,Zona Noroccidental,491000000
Apartamento,3,4,186,La Calleja,970000000
Apartamento,3,2,42,Tintala,145000000
Apartamento,1,2,48,Usaquén,420000000
Apartamento,3,3,107,Usaquén,660000000
Apartamento,3,3,109,Zona Noroccidental,515000000
Apartamento,3,2,103,Zona Noroccidental,520000000
Casa,2,3,158,Usaquén,770000000
Apartamento,3,2,99,Zona Noroccidental,495000000
Casa,3,1,48,Bosa,160000000
Casa,2,1,40,Ciudad Bolívar,134000000
Apartamento,3,3,98,Cantagallo,489900000
Apartamento,3,2,77,Zona Noroccidental,310000000
Apartamento,3,2,68,Zona Noroccidental,270000000
Apartamento,2,2,81,Usaquén,600000000
Apartamento,3,3,66,Usaquén,261500000
